Altium Designer Pick and Place Locations
E:\COLLEGE\_TeamLambda\PCB_Altium\Lambda_V2\Project Outputs for Lambda_V2\Pick Place\Pick Place for Lambda_V2.csv

========================================================================================================================
File Design Information:

Date:       07-01-26
Time:       14:36
Revision:   Not in VersionControl
Variant:    No variations
Units used: mil

"Designator","Comment","Layer","Footprint","Center-X(mil)","Center-Y(mil)","Rotation","Description"
"U25","RA-02","TopLayer","MODULE_RA-02_LORA","2360.000","2660.000","0","RF TXRX MOD ISM<1GHZIPEX SMD"
"R61","27R","TopLayer","RESC1005X37N","2641.000","6397.000","90","Fixed Resistor, Metal Glaze/thick Film, 0.0625W, 27ohm, 50V, 1% +/-Tol, 100ppm/Cel, Surface Mount, 0402"
"R60","27R","TopLayer","RESC1005X37N","2592.000","6397.000","90","Fixed Resistor, Metal Glaze/thick Film, 0.0625W, 27ohm, 50V, 1% +/-Tol, 100ppm/Cel, Surface Mount, 0402"
"R59","27R","TopLayer","RESC1005X37N","2826.000","4502.000","180","Fixed Resistor, Metal Glaze/thick Film, 0.0625W, 27ohm, 50V, 1% +/-Tol, 100ppm/Cel, Surface Mount, 0402"
"R58","27R","TopLayer","RESC1005X37N","2826.000","4448.000","180","Fixed Resistor, Metal Glaze/thick Film, 0.0625W, 27ohm, 50V, 1% +/-Tol, 100ppm/Cel, Surface Mount, 0402"
"R57","10kOhm","TopLayer","RESC0603X26N_-_duplicate","2478.438","4932.265","180","RES 10K OHM 1% 1/20W 0201"
"R16","27R","TopLayer","RESC1005X37N","2541.000","4948.000","90","Fixed Resistor, Metal Glaze/thick Film, 0.0625W, 27ohm, 50V, 1% +/-Tol, 100ppm/Cel, Surface Mount, 0402"
"R15","27R","TopLayer","RESC1005X37N","2764.008","2700.000","0","Fixed Resistor, Metal Glaze/thick Film, 0.0625W, 27ohm, 50V, 1% +/-Tol, 100ppm/Cel, Surface Mount, 0402"
"R11","10kOhm","TopLayer","RESC0603X26N_-_duplicate","2749.782","2868.966","90","RES 10K OHM 1% 1/20W 0201"
"FB1","600 Ohm, Ferrite Bead","TopLayer","BEADC1608X95N","1898.875","2749.378","90","FERRITE BEAD 600 OHM 0603 1LN"
"C61","10uF, 25V","TopLayer","CAPC2012X95N","1823.693","2741.964","90","CAP CER 10UF 25V X5R 0805"
"C60","100nF, 50V","TopLayer","CAPC1005X55N","1960.000","2760.000","90","Ceramic Capacitor, Multilayer, Ceramic, 50V, 10% +Tol, 10% -Tol, X7R, 15% TC, 0.1uF, Surface Mount, 0402"
"U23","100PIN CONN - MOD1B","TopLayer","HIROSE_DF40C-100DS-0.4V(51)","1481.102","6743.307","270","CONN RCPT 100POS SMD GOLD"
"U22","100PIN CONN - MOD1A","TopLayer","HIROSE_DF40C-100DS-0.4V(51)","2819.685","6743.307","270","CONN RCPT 100POS SMD GOLD"
"J23","Screw Terminal","TopLayer","CUI_TB005-762-02BE","7780.000","4150.000","90","2~24 Poles, Screw Type, Horizontal, 7.62 Pitch, 26~10 (AWG), Terminal Block Connector"
"J10","Screw Terminal","TopLayer","CUI_TB005-762-02BE","7780.000","2470.000","90","2~24 Poles, Screw Type, Horizontal, 7.62 Pitch, 26~10 (AWG), Terminal Block Connector"
"D13","SMBJ5.0A","TopLayer","DO-214AASMB_J-BEND_LTF-M","5066.000","2640.000","0","TVS DIODE 5VWM 9.2VC DO214AA"
"C59","10uF, 25V","TopLayer","CAPC2012X95N","5650.000","4560.000","0","CAP CER 10UF 25V X5R 0805"
"C58","22uF, 10V","TopLayer","CAP_1608_TDK-M","5018.000","3118.000","0","CAP CER 22UF 10V X5R 0603"
"C39","10uF, 25V","TopLayer","CAPC2012X95N","5660.000","2811.000","0","CAP CER 10UF 25V X5R 0805"
"U21","BTN8982TA","TopLayer","IC8_BTN8982TAAUMA1_INF","7069.159","5860.000","270","Half Bridge Driver DC Motors, General Purpose DMOS PG-TO263-7-1"
"U20","BTN8982TA","TopLayer","IC8_BTN8982TAAUMA1_INF","7069.289","6445.000","270","Half Bridge Driver DC Motors, General Purpose DMOS PG-TO263-7-1"
"U19","BTN8982TA","TopLayer","IC8_BTN8982TAAUMA1_INF","7069.159","4208.000","270","Half Bridge Driver DC Motors, General Purpose DMOS PG-TO263-7-1"
"U18","BTN8982TA","TopLayer","IC8_BTN8982TAAUMA1_INF","7069.159","4793.000","270","Half Bridge Driver DC Motors, General Purpose DMOS PG-TO263-7-1"
"U17","BTN8982TA","TopLayer","IC8_BTN8982TAAUMA1_INF","7069.159","2525.000","270","Half Bridge Driver DC Motors, General Purpose DMOS PG-TO263-7-1"
"U16","BTN8982TA","TopLayer","IC8_BTN8982TAAUMA1_INF","7069.159","3110.000","270","Half Bridge Driver DC Motors, General Purpose DMOS PG-TO263-7-1"
"U15","INVERTER","TopLayer","SOT95P280X145-5N","6501.000","5933.000","90","Inverter IC 1 Channel Schmitt Trigger SOT-23-5"
"U14","INVERTER","TopLayer","SOT95P280X145-5N","6500.000","4275.000","90","Inverter IC 1 Channel Schmitt Trigger SOT-23-5"
"U13","INVERTER","TopLayer","SOT95P280X145-5N","6500.000","2605.000","90","Inverter IC 1 Channel Schmitt Trigger SOT-23-5"
"U12","AND Gate","TopLayer","SOT95P280X145-5N","6674.000","6003.000","0","IC GATE AND 1CH 2-INP SOT23-5"
"U11","AND Gate","TopLayer","SOT95P280X145-5N","6675.000","6587.000","0","IC GATE AND 1CH 2-INP SOT23-5"
"U10","AND Gate","TopLayer","SOT95P280X145-5N","6675.000","4345.000","0","IC GATE AND 1CH 2-INP SOT23-5"
"U9","AND Gate","TopLayer","SOT95P280X145-5N","6675.000","4938.000","0","IC GATE AND 1CH 2-INP SOT23-5"
"U8","AND Gate","TopLayer","SOT95P280X145-5N","6674.591","2670.598","0","IC GATE AND 1CH 2-INP SOT23-5"
"U7","AND Gate","TopLayer","SOT95P280X145-5N","6680.000","3255.000","0","IC GATE AND 1CH 2-INP SOT23-5"
"U6","TPS563209DDCR","TopLayer","DDC0006A","5650.000","5000.000","90","IC REG BUCK ADJ 3A SOT23"
"U5","TPD2EUSB30DRTR","TopLayer","SOTFL35P100X50-3N","989.000","6400.000","180","TVS DIODE 5.5VWM 8VC SOT3"
"U4","FT231XQ-R","TopLayer","FP-QFN-20-IPC_B","1340.000","4600.000","270","IC USB SERIAL FULL UART 20QFN"
"U3","TL1963A-33DCYR","TopLayer","DCY0004A_N","4205.000","3385.000","270","Fixed Positive LDO Regulator, 3.3V, 0.55V Dropout, BIPolar, PDSO4"
"U2","2x 100PIN CONN - MOD1A","TopLayer","RPI_CM5","2150.394","6644.882","0","2x CONN RCPT 100POS SMD GOLD"
"U1","TPS563209DDCR","TopLayer","DDC0006A","5650.000","3250.000","90","IC REG BUCK ADJ 3A SOT23"
"SW3","PTS645SH50SMTR92LFS","TopLayer","FP-PTS645SH50SMTR92LFS-MFG","1671.417","5021.496","270","Keypad Switch, 1 Switches, SPST, Momentary-tactile, 0.05A, 12VDC, 1.96N, 4 PCB Hole Cnt, Solder Terminal, Surface Mount-straight"
"SW2","PTS645SH50SMTR92LFS","TopLayer","FP-PTS645SH50SMTR92LFS-MFG","1670.000","4155.000","270","Keypad Switch, 1 Switches, SPST, Momentary-tactile, 0.05A, 12VDC, 1.96N, 4 PCB Hole Cnt, Solder Terminal, Surface Mount-straight"
"SW1","Tactile Switch","TopLayer","SWITCH_43SMTR92LFS","1016.000","7225.000","90","SWITCH TACTILE SPST-NO 0.05A 12V"
"R56","10k","TopLayer","RESC1005X40N","6720.000","5910.000","0","RES 10K OHM 1% 1/16W 0402"
"R55","10k","TopLayer","RESC1005X40N","6720.929","6495.000","0","RES 10K OHM 1% 1/16W 0402"
"R54","10k","TopLayer","RESC1005X40N","6721.000","4252.000","0","RES 10K OHM 1% 1/16W 0402"
"R53","10k","TopLayer","RESC1005X40N","6721.000","4843.000","0","RES 10K OHM 1% 1/16W 0402"
"R52","10k","TopLayer","RESC1005X40N","6720.000","2575.000","0","RES 10K OHM 1% 1/16W 0402"
"R51","10k","TopLayer","RESC1005X40N","6725.000","3160.000","0","RES 10K OHM 1% 1/16W 0402"
"R50","510 Ohms, 1/8W","TopLayer","RESC2012X60N","6670.000","5714.000","90","RES 510 OHM 1% 1/8W 0805"
"R49","510 Ohms, 1/8W","TopLayer","RESC2012X60N","6669.000","6299.000","90","RES 510 OHM 1% 1/8W 0805"
